RECORD,Wdir_Avg,Wavg_Avg,Wmax_Max,Tair_Avg,RHum_Avg,Pair_Avg,Rintensity_Avg
1237150,249.5,4.966667,6.9,5,79.51666,990.4833,0
1237151,275.3333,3.9,5.5,5.016666,79.5,990.4666,0
1237152,255.1667,4.483333,7,5,79.56667,990.45,0
1237153,244.1667,5.166667,7.2,5.05,79.7,990.4,0
1237154,249,3.766666,4.4,5.1,79.6,990.4,0
1237155,248.8333,3.8,6.6,5.083333,79.68333,990.4,0
1237156,252.1667,4.2,5.9,5,79.7,990.4333,0
1237157,253,4.633333,6,5,79.78333,990.4,0
1237158,246.1667,4.483333,6.7,5,79.83334,990.3833,0
1237159,253.1667,5.133333,7.4,5,79.81667,990.4,0
1237160,253.6667,5.283333,6.9,5,79.8,990.4,0
1237161,246.1667,3.516666,5.9,5.083333,79.78333,990.4,0
1237162,252.1667,4.75,7.9,5,79.81667,990.4833,0
1237163,249.8333,4.7,7.1,5.05,79.8,990.4333,0
1237164,241,5.483333,7.3,5.1,79.8,990.4167,0
1237165,228.6667,3.316667,4.7,5.1,79.73333,990.4,0
1237166,252.5,3.083333,4.6,5.066667,79.7,990.4833,0
1237167,228.1667,3.35,4.7,5,79.81667,990.4833,0
1237168,233,5.316667,7.5,5,79.83334,990.4666,0
1237169,236.6667,2.816667,4.2,5,79.8,990.5,0
1237170,237.6667,4.566667,6.5,5,79.86667,990.5,0
1237171,244.8333,4.316667,6.8,5,80,990.5,0
1237172,229.5,3.466666,5.3,5,79.93333,990.5,0
1237173,226.5,3.85,5.2,5,79.93333,990.4833,0
1237174,232.8333,3.916667,5.5,4.966667,79.9,990.5,0
1237175,229,4.466667,5.4,4.9,79.95,990.5166,0
1237176,226.1667,4.433333,6.6,4.9,79.86667,990.5333,0
1237177,234.1667,3.383333,5.6,4.9,79.78333,990.5833,0
1237178,241,3.95,5.7,4.9,79.83334,990.55,0
1237179,236,4.416667,7.8,4.9,79.75,990.5166,0
1237180,233.5,4.7,6.6,4.9,79.8,990.5,0
1237181,239.8333,5.433333,7.8,4.9,79.81667,990.5,0
1237182,232.5,5.516666,7.4,4.9,79.8,990.4833,0
1237183,232.1667,5.283333,7.2,4.9,79.81667,990.5,0
1237184,240.3333,3.2,4.5,4.9,79.73333,990.5,0
1237185,241.1667,3.616667,4.8,4.9,79.61666,990.5,0
1237186,234,5.116666,7.2,4.9,79.64999,990.5,0
1237187,240.1667,4.883333,6.2,4.9,79.71667,990.45,0
1237188,243,4.183333,7.3,4.9,79.61666,990.4,0
1237189,247.1667,4.216667,6.8,4.9,79.6,990.4167,0
1237190,233.3333,3.6,5.2,4.9,79.66666,990.4,0
1237191,241.8333,5.616666,8.4,4.9,79.8,990.3833,0
1237192,238.3333,4.666667,7,4.9,79.71667,990.3833,0
1237193,242.5,5.1,6,4.9,79.6,990.3666,0
1237194,237.1667,5.55,7.1,4.9,79.46667,990.3499,0
1237195,242.3333,3.55,4.7,5,79.36667,990.3833,0
1237196,244.5,4.683333,7.2,5,79.23333,990.4,0
1237197,255,4.6,5.7,5,79.11666,990.4,0
1237198,246.5,4.583333,6.6,5,79,990.4,0
1237199,237,5.166667,7,5,78.91666,990.3499,0
1237200,235,4.65,6.4,5,78.85,990.3833,0
1237201,245.5,4.7,6.3,5,78.71667,990.4,0
1237202,237.5,6.316666,8.7,5,78.75,990.3833,0
1237203,240.1667,5.083333,6.7,5,78.76667,990.4,0
1237204,237.5,4.983333,6.1,5,78.56667,990.4,0
1237205,224.8333,3.883333,4.8,5,78.58333,990.4,0
1237206,235.5,4.183333,5.5,5,78.73333,990.3833,0
1237207,240,4.516666,5.7,5,78.9,990.4,0
1237208,238.3333,5.1,6.9,5,78.98333,990.4,0
1237209,236.3333,4.933333,7.2,5,78.98333,990.3833,0
1237210,233.1667,4.85,6.7,4.95,79.08333,990.3666,0
1237211,235.3333,5.2,7.3,4.983333,79,990.3167,0
1237212,227.6667,4.566667,6.1,4.983333,79.08333,990.3,0
1237213,226.1667,4.333333,5.7,4.966667,78.95,990.3,0
1237214,239.3333,4.183333,5.9,4.9,79.05,990.3,0
1237215,230.5,4.2,5.1,4.9,79.08333,990.3,0
1237216,222.5,3.966666,5.5,4.9,79.21667,990.25,0
1237217,241.1667,3.9,7.3,4.9,79.28333,990.25,0
1237218,232.1667,5.35,7.4,4.9,79.4,990.2166,0
1237219,235.5,4.516666,5.9,4.9,79.41666,990.2166,0
1237220,236.3333,3.966666,4.8,4.9,79.35,990.1833,0
1237221,234.8333,3.85,5.4,4.833333,79.5,990.2,0
1237222,238.1667,5.05,7.2,4.8,79.58333,990.1833,0
1237223,230.1667,5.2,6.9,4.816667,79.68333,990.1667,0
1237224,246.5,3.683333,4.9,4.9,79.61666,990.2,0
1237225,236.6667,4.4,5.7,4.9,79.58333,990.0999,0
1237226,241.3333,4.35,5.5,4.9,79.5,990.0999,0
1237227,244.1667,3.816667,6,4.9,79.41666,990.0833,0
1237228,240,3.816667,6,4.9,79.28333,990.0999,0
1237229,258.3333,4.6,6.5,4.9,79.2,990.0333,0
1237230,244.1667,4.7,6.5,4.9,79.13333,990,0
1237231,249.5,4.95,6.3,4.966667,79.05,990,0
1237232,243.3333,3.95,6.9,5,78.91666,989.9833,0
1237233,242.8333,4.183333,6.2,5,78.78333,989.95,0
1237234,243.1667,4.016667,5.6,5,78.7,989.9333,0
1237235,238.6667,4.166667,5,5,78.7,989.9,0
1237236,241.3333,3.8,5.1,5,78.56667,989.9167,0
1237237,251.3333,3.733333,4.9,5,78.6,989.9666,0
1237238,244.8333,4.166667,5.5,5,78.66666,990,0
1237239,232,3.366667,4.7,5,78.66666,990,0
1237240,241.3333,3.833333,5,5,78.78333,990,0
1237241,244.6667,3.733333,4.8,5,78.78333,990,0
1237242,239.6667,3.266666,4.3,5,78.8,989.9333,0
1237243,241.3333,2.783333,3.6,5,78.8,989.95,0
1237244,235.8333,3.55,4.8,4.9,78.86667,989.9,0
1237245,268.1667,2.116667,3.9,4.9,78.8,989.9167,0
1237246,249.6667,3.1,4.1,4.9,78.9,989.9167,0
1237247,238.3333,3.3,4.6,4.9,79.01666,989.9,0
1237248,234.8333,3.283333,4.3,4.9,78.9,989.9,0
1237249,235.6667,3.25,4.4,4.9,78.85,989.9833,0
1237250,221.3333,3.85,4.9,4.9,78.8,989.9,0
1237251,224.8333,2.9,4,4.9,78.88333,989.9833,0
1237252,216,2.483333,3.2,4.9,78.76666,989.9833,0
1237253,219.1667,2.3,3.4,4.9,78.83334,990,0
1237254,226.3333,3.083333,4.2,4.85,79.03333,989.9167,0
1237255,232.3333,3.05,4.1,4.8,79.2,989.9333,0
1237256,222.3333,2.133333,3.5,4.8,79.14999,989.9,0
1237257,225.3333,2.466667,3.1,4.8,79.14999,989.9,0
1237258,217.5,2.233333,2.8,4.8,79.23333,989.9167,0
1237259,212.6667,2.566667,3.7,4.7,79.31667,989.9833,0
1237260,215.1667,3.566667,4.8,4.7,79.5,990,0
1237261,211.8333,2.366667,3.5,4.7,79.75,990,0
1237262,210.3333,2.766666,4.1,4.7,79.61666,990,0
1237263,215.3333,2.666667,3.5,4.7,79.6,990,0
1237264,204,2.133333,3.4,4.7,79.64999,990,0
1237265,217.1667,1.933333,3.2,4.7,79.43333,990,0
1237266,207.8333,2.766666,3.2,4.7,79.55,990,0
1237267,199.1667,2.916667,4.1,4.65,79.43333,990,0
1237268,204.3333,1.783333,4,4.6,79.45,990,0
1237269,185.3333,2.616667,4.2,4.6,79.65,989.9666,0
1237270,194.5,3.95,5.9,4.6,80.03333,989.9167,0
1237271,171.6667,2.7,4.5,4.683333,79.93333,989.95,0
1237272,194.3333,3.05,4.3,4.7,79.51666,989.95,0
1237273,185.1667,2.516667,4,4.7,79.15,990,0
1237274,183.6667,3.35,4.8,4.683333,78.45,989.95,0
1237275,188.5,4.3,5.9,4.55,78.21667,989.9666,0
1237276,191.6667,4.55,6.7,4.4,78.58333,989.9,0
1237277,187.3333,4.066667,6.4,4.266667,78.91666,989.9167,0
1237278,184.3333,4.866666,6.1,4.183333,79.35,989.9,0
1237279,192,5.416667,7,4.1,79.73333,989.9,0
1237280,196.8333,4.933333,6.3,4.05,80,989.8833,0
1237281,182.1667,5.05,6.2,4,80.2,989.9,0
1237282,185.6667,4.35,6,3.916667,80.48333,989.8666,0
1237283,157.6667,3.75,6.7,3.9,80.83334,989.8,0
1237284,193.3333,4.216667,7.2,3.9,81.03333,989.7666,0
1237285,186.8333,4.566667,6.2,3.9,81.03333,989.8,0
1237286,172.1667,3.516666,5.9,3.9,80.91666,989.8,0
1237287,171.5,3.65,5.1,3.883333,80.93333,989.7666,0
1237288,192.1667,4.016666,6.7,3.8,81.03333,989.7833,0
1237289,178,3.65,5.8,3.8,81.21667,989.7833,0
1237290,187.3333,4.833333,6.2,3.733333,81.4,989.8,0
1237291,180.6667,4.033333,5.9,3.7,81.5,989.8,0
1237292,185.1667,3.816667,5,3.7,81.64999,989.8167,0
1237293,183.6667,4.316667,6.7,3.7,81.86666,989.7833,0
1237294,170.5,4.433333,6.4,3.7,82.1,989.8167,0
1237295,183.1667,4.066667,5.7,3.7,82,989.8499,0
1237296,182.6667,4.9,7,3.7,81.8,989.8167,0
1237297,185.8333,5.1,6.5,3.7,81.78333,989.8167,0
1237298,173.6667,4.566667,6,3.7,81.83334,989.8,0
1237299,191.8333,5.116666,6.5,3.7,81.96667,989.8,0
1237300,184.8333,4.916667,6.7,3.7,81.88333,989.7833,0
1237301,185,3.816667,5.6,3.633333,81.96667,989.7,0
1237302,184.5,4.8,6.6,3.7,82.03333,989.7166,0
1237303,189.5,4.8,6.7,3.7,82.01666,989.7,0
1237304,192.8333,5.5,6.3,3.683333,81.9,989.7,0
1237305,190.1667,5.483333,7,3.666667,81.9,989.7,0
1237306,186.5,5.2,6.9,3.6,81.95,989.7,0
1237307,190.5,5.733333,7.2,3.6,82.05,989.7,0
1237308,186.6667,5.7,7.2,3.6,81.85,989.7,0
1237309,190.3333,6.316666,7.2,3.6,81.6,989.7,0
1237310,194.1667,5.633333,7.2,3.516666,81.7,989.6166,0
1237311,187.3333,5,5.8,3.5,82.11666,989.6166,0
1237312,182,4.483333,5.8,3.5,82.41666,989.6166,0
1237313,186.3333,4.316667,6.3,3.5,82.51666,989.6333,0
1237314,181.8333,4.4,5.5,3.5,82.5,989.6833,0
1237315,184.3333,3.566667,5.2,3.5,82.5,989.6833,0
1237316,174.8333,3.9,5,3.5,82.55,989.65,0
1237317,177.8333,3.683333,5.4,3.5,82.58333,989.6333,0
1237318,185.6667,4.316667,5.2,3.5,82.68333,989.6667,0
1237319,183.8333,4.216667,5.2,3.5,82.64999,989.7,0
1237320,189.6667,3.883333,5.2,3.5,82.68333,989.7,0
1237321,184.5,4.05,5.5,3.5,82.66666,989.7,0
1237322,171.3333,3.066667,5.4,3.5,82.61666,989.7166,0
1237323,169.8333,3.8,5.2,3.5,82.31667,989.7333,0
1237324,181.5,4.866666,5.9,3.433333,82.43333,989.7333,0
1237325,181.6667,4.866666,6.9,3.4,82.73333,989.7333,0
1237326,179,4.4,6,3.4,82.98333,989.7666,0
1237327,190.8333,3.516666,5.5,3.4,83,989.8,0
1237328,182.1667,4.7,6.5,3.4,83.16666,989.8,0
1237329,179.1667,4.433333,5.6,3.4,83.3,989.8,0
1237330,190.5,3.983333,5.4,3.4,83.21667,989.8167,0
1237331,180.1667,4.683333,6.2,3.4,83.3,989.8167,0
1237332,183.8333,4.233333,5.3,3.4,83.3,989.8167,0
1237333,179.6667,4.05,5.2,3.4,83.3,989.8,0
1237334,183,4.433333,5.8,3.383333,83.48333,989.8,0
1237335,185.8333,3.116667,4.5,3.333333,83.6,989.8,0
1237336,179.8333,3.783333,4.7,3.3,83.61666,989.7666,0
1237337,178.3333,3.966666,5,3.3,83.76667,989.75,0
1237338,176.1667,3.35,5,3.3,83.8,989.7833,0
1237339,185.3333,2.783333,4.4,3.3,83.8,989.7833,0
1237340,190,3.366667,5.1,3.3,83.81667,989.8,0
1237341,181,3.65,4.6,3.3,83.9,989.8,0
1237342,180.5,3.933333,5.1,3.3,83.9,989.8,0
1237343,185.6667,3.933333,5.3,3.3,83.88333,989.8,0
1237344,177.8333,3.433333,5.5,3.3,84,989.8,0
1237345,165.5,2.666667,4.6,3.316667,83.86667,989.8,0
1237346,161.6667,2.9,5,3.3,83.83334,989.8167,0
1237347,168,2.55,3.6,3.3,83.83334,989.8833,0
1237348,171.1667,3.3,4.8,3.3,83.8,989.8666,0
1237349,151.6667,2.55,4.6,3.3,83.8,989.9,0
1237350,174.3333,3.816667,4.8,3.3,83.75,989.9,0
1237351,177.6667,3.116667,4.5,3.3,83.85,989.8499,0
1237352,177.3333,4.366666,6.3,3.3,83.98333,989.8,0
1237353,181.1667,3.466666,4.5,3.3,84.01666,989.8,0
1237354,187,3.933333,4.8,3.383333,83.95,989.8,0
1237355,182,3.683333,5.8,3.45,84.36666,989.8,0
1237356,186.8333,2.533333,3.6,3.566667,84.23333,989.8,0
1237357,191.8333,2.95,4.3,3.666667,83.9,989.75,0
1237358,182.1667,2.566667,3.7,3.75,83.61666,989.7,0
1237359,180.1667,3.2,4.5,3.85,83.53333,989.7,0
1237360,191,3.816667,5.1,3.966666,83.16666,989.7,0
1237361,182,3.45,5,4.083333,82.6,989.7,0
1237362,202.3333,3.5,4.6,4.183333,82.03333,989.7,0
1237363,207.5,4.716667,6.7,4.283333,81.45,989.7,0
1237364,198.3333,4.866666,6.1,4.366667,80.96667,989.5999,0
1237365,193,4.183333,7.5,4.466667,80.13333,989.6166,0
1237366,206.3333,4.833333,7.1,4.533333,79.75,989.5999,0
1237367,211,4.733333,6.8,4.6,79.23333,989.55,0
1237368,205.6667,5.35,6.3,4.65,78.85,989.5667,0
1237369,213.1667,4.016667,5.6,4.7,78.43333,989.5,0
1237370,213.3333,4.05,5.2,4.7,78.03333,989.5,0
1237371,201.8333,3.55,4.8,4.7,78,989.5,0
1237372,209.1667,3.233333,6.2,4.666667,78,989.4833,0
1237373,215.8333,4.366666,6.6,4.633333,78.26667,989.5,0
1237374,220,3.883333,4.9,4.7,78.14999,989.5,0
1237375,200.8333,3.966666,5.5,4.6,78.05,989.5,0
1237376,204.8333,3.733333,5,4.6,78.21667,989.5,0
1237377,213.3333,4.966667,6.3,4.6,78.38333,989.5,0
1237378,211,3.533333,4.5,4.6,78.3,989.5,0
1237379,188.8333,3.616667,5.2,4.6,78.14999,989.5,0
1237380,188.6667,3.916666,7.4,4.6,78.38333,989.4167,0
1237381,201.3333,4.016666,4.9,4.6,78.53333,989.4,0
1237382,199.3333,2.783333,3.9,4.6,78.48333,989.4,0
1237383,209.5,5.166667,8.1,4.6,78.61666,989.3666,0
1237384,205.6667,4.166667,6.8,4.683333,78.68333,989.3499,0
1237385,207.3333,4.033333,5.2,4.7,78.45,989.4,0
1237386,202,4.2,5.2,4.7,78.26667,989.4,0
1237387,200.8333,2.683333,4.6,4.666667,78.45,989.4,0
1237388,205.8333,4.316667,5.9,4.65,78.66666,989.4,0
1237389,194.1667,3.183333,4.2,4.7,78.55,989.3666,0
1237390,205.1667,4.333333,5.2,4.7,78.68333,989.3167,0
1237391,206.3333,3.283333,4.6,4.7,78.58333,989.3,0
1237392,206.8333,3.383333,5.4,4.7,78.53333,989.3,0
1237393,202,4.033333,5.3,4.7,78.86667,989.2833,0
1237394,202.5,3.633333,5.8,4.7,78.65,989.2833,0
1237395,204.6667,3.733333,5.1,4.7,78.28333,989.2833,0
1237396,191.6667,5.266666,6.6,4.7,78.33334,989.2,0
1237397,189.1667,3.683333,5.1,4.8,78.23333,989.2,0
1237398,218.5,3.216666,4.7,4.8,77.98333,989.1833,0
1237399,178.5,3.466666,5.3,4.8,77.75,989.15,0
1237400,203.8333,3.95,5.8,4.8,77.86667,989.1333,0
1237401,190.5,3.4,5,4.8,77.7,989.1333,0
1237402,201,2.866667,4.5,4.85,77.4,989.2,0
1237403,191.1667,2.45,3.7,4.866667,77.18333,989.2,0
1237404,169.1667,2.8,5.1,4.833333,77.35,989.15,0
1237405,197.6667,3.05,5.2,4.9,77.36667,989.1833,0
1237406,187.5,4.3,5.7,4.9,77.28333,989.1667,0
1237407,185.6667,3.583333,6.2,4.9,77.26667,989.1667,0
1237408,185.8333,4.45,7.4,4.933333,77.2,989.15,0
1237409,190.5,4.5,6.8,5,77.1,989.1667,0
1237410,188.1667,4.866666,7,5,77,989.1333,0
1237411,177.6667,3.266666,5,5,76.68333,989.2,0
1237412,186.6667,5.883333,7.6,5,76.64999,989.15,0
1237413,202.6667,4.316667,7.9,5.083333,76.55,989.1833,0
1237414,189.8333,5.633333,8.1,5.1,76.43333,989.1667,0
1237415,186.6667,5.116666,7,5.1,76.4,989.1833,0
1237416,194.3333,5.316667,7.1,5.1,76.3,989.15,0
1237417,191,2.85,5,5.183333,76.16666,989.2,0
1237418,229.8333,3.5,6,5.2,76.05,989.1667,0
1237419,199.3333,4.366666,6.2,5.2,76.11666,989.0999,0
1237420,185.6667,3.583333,5.2,5.183333,75.76666,989.0999,0
1237421,188,4.016666,5.1,5.083333,75.66666,989.0667,0
1237422,189.8333,3.933333,5,4.966667,76.15,989.0333,0
1237423,182.6667,3.25,4.1,4.833333,76.71667,989.0166,0
1237424,193.1667,3.566667,4.5,4.716667,77.23333,989,0
1237425,174.3333,3.066667,4.2,4.633333,77.68333,989,0
1237426,181.1667,3.783333,4.6,4.55,78.25,988.9,0
1237427,183.6667,3.55,4.3,4.5,78.73333,989,0
1237428,178.1667,3.066667,4.5,4.466667,79.03333,989,0
1237429,178.3333,4.116666,5.8,4.4,79.48333,988.9666,0
1237430,182.1667,4.45,5.5,4.4,79.63333,988.9333,0
1237431,180.3333,4.433333,5.7,4.433333,79.73333,988.9,0
1237432,181.6667,2.95,5.1,4.5,79.55,988.9,0
1237433,190.8333,3.566667,5.2,4.433333,79.53333,988.8499,0
1237434,167.5,2.966666,5,4.433333,79.7,988.8167,0
1237435,171.3333,2.983333,4.9,4.5,79.71667,988.8167,0
1237436,140.1667,2.983333,6.3,4.516666,79.68333,988.8,0
1237437,159,3.183333,4.3,4.6,79.45,988.8333,0
1237438,183.1667,3.4,5.9,4.666667,79.11666,988.9,0
1237439,175.6667,4.733333,6.1,4.7,78.9,988.8833,0
1237440,171,3.25,5.7,4.75,78.61666,988.9,0
1237441,176.3333,4.15,5.7,4.8,78.38333,988.9,0
